NAME,total_population,median_household_income,median_age,total_housing_units,owner_occupied,renter_occupied,pop_25_plus,bachelors_degree,masters_degree,professional_degree,doctorate_degree,total_pop_age_denom,male_18_19,male_20,male_21,male_22_24,male_25_29,male_30_34,female_18_19,female_20,female_21,female_22_24,female_25_29,female_30_34,state,county,tract,geoid,pct_age_18_34,pct_renters,pct_college_plus,county_name
Census Tract 8.02; Pinal County; Arizona,6866,68750,57.5,2736,2236,500,5496,1110,729,29,144,6866,69,34,0,60,429,302,34,39,38,35,206,24,04,021,000802,04021000802,0.185,0.1827,0.3661,Pinal
Census Tract 8.04; Pinal County; Arizona,2013,39174,72.7,1053,955,98,1910,227,260,11,11,2013,0,0,0,16,40,7,19,0,0,4,0,0,04,021,000804,04021000804,0.0427,0.0931,0.2665,Pinal
Census Tract 8.05; Pinal County; Arizona,6319,87688,60.0,2727,2588,139,5131,1477,441,23,76,6319,54,44,0,41,272,149,17,0,0,77,77,142,04,021,000805,04021000805,0.1382,0.051,0.3931,Pinal
Census Tract 8.06; Pinal County; Arizona,8061,100259,34.6,2609,2509,100,5077,1118,253,18,0,8061,0,0,29,0,83,435,66,0,0,0,307,375,04,021,000806,04021000806,0.1607,0.0383,0.2736,Pinal
Census Tract 8.07; Pinal County; Arizona,2178,47353,38.9,66,66,0,2050,96,6,0,0,2178,0,0,10,73,281,365,0,0,0,0,0,5,04,021,000807,04021000807,0.337,0.0,0.0498,Pinal
Census Tract 8.08; Pinal County; Arizona,6206,91042,38.7,272,167,105,5590,124,51,0,0,6206,27,9,39,342,857,838,28,7,0,26,0,16,04,021,000808,04021000808,0.3527,0.386,0.0313,Pinal
Census Tract 9.02; Pinal County; Arizona,3171,79167,33.2,1128,612,516,2175,131,75,0,0,3171,67,0,13,65,339,146,40,94,5,64,121,80,04,021,000902,04021000902,0.3261,0.4574,0.0947,Pinal
Census Tract 9.03; Pinal County; Arizona,3918,,38.7,0,0,0,3564,102,0,0,0,3918,57,43,28,147,509,629,0,12,9,10,0,13,04,021,000903,04021000903,0.3719,,0.0286,Pinal
Census Tract 9.04; Pinal County; Arizona,839,41552,40.3,368,235,133,567,37,17,0,0,839,24,41,22,0,68,0,19,0,21,12,33,27,04,021,000904,04021000904,0.3182,0.3614,0.0952,Pinal
Census Tract 10; Pinal County; Arizona,5119,43856,34.2,1667,877,790,3208,166,40,0,10,5119,40,12,30,61,125,233,41,63,23,42,109,263,04,021,001000,04021001000,0.2036,0.4739,0.0673,Pinal
Census Tract 11; Pinal County; Arizona,8964,68974,36.1,2935,2139,796,6100,831,128,38,43,8964,109,0,130,99,342,585,124,161,0,159,480,206,04,021,001100,04021001100,0.2672,0.2712,0.1705,Pinal
Census Tract 12; Pinal County; Arizona,5210,68599,39.3,1753,1567,186,3479,398,80,17,12,5210,41,8,0,214,55,161,123,9,10,97,157,239,04,021,001200,04021001200,0.2138,0.1061,0.1457,Pinal
Census Tract 13.03; Pinal County; Arizona,1587,100422,50.5,568,554,14,1213,174,94,40,24,1587,48,19,0,0,73,0,0,4,16,0,26,0,04,021,001303,04021001303,0.1172,0.0246,0.2737,Pinal
Census Tract 13.05; Pinal County; Arizona,6403,57278,33.0,2364,1755,609,3896,524,210,52,25,6403,36,0,53,214,173,225,133,120,47,102,218,229,04,021,001305,04021001305,0.2421,0.2576,0.2082,Pinal
Census Tract 13.06; Pinal County; Arizona,6415,57451,31.3,2322,1461,861,4042,385,137,3,77,6415,53,79,0,278,338,165,41,63,89,70,392,230,04,021,001306,04021001306,0.2803,0.3708,0.1489,Pinal
Census Tract 13.07; Pinal County; Arizona,4838,68254,52.9,2232,1684,548,3930,506,450,40,48,4838,0,0,0,107,46,281,0,52,24,43,50,420,04,021,001307,04021001307,0.2115,0.2455,0.2656,Pinal
Census Tract 13.08; Pinal County; Arizona,2571,50658,30.2,684,365,319,1438,55,122,17,0,2571,0,42,0,111,70,76,8,0,42,48,56,155,04,021,001308,04021001308,0.2365,0.4664,0.1349,Pinal
Census Tract 13.09; Pinal County; Arizona,6022,88326,39.5,2075,1420,655,4021,702,357,43,0,6022,22,0,85,120,72,84,56,19,55,88,241,352,04,021,001309,04021001309,0.1983,0.3157,0.2741,Pinal
Census Tract 13.10; Pinal County; Arizona,5118,88601,38.0,1581,1388,193,3185,587,248,31,0,5118,191,4,70,105,161,85,26,0,93,173,140,116,04,021,001310,04021001310,0.2274,0.1221,0.2719,Pinal
Census Tract 14.03; Pinal County; Arizona,5786,62083,29.8,1964,1098,866,3397,335,76,50,11,5786,97,344,158,189,250,191,119,24,15,126,313,333,04,021,001403,04021001403,0.3731,0.4409,0.1389,Pinal
Census Tract 14.04; Pinal County; Arizona,3558,76504,32.3,1233,1005,228,2407,183,169,11,4,3558,31,0,66,58,315,91,19,24,31,44,204,111,04,021,001404,04021001404,0.2794,0.1849,0.1525,Pinal
Census Tract 14.05; Pinal County; Arizona,4415,63750,54.9,1882,1309,573,3273,557,182,38,20,4415,45,121,98,30,122,0,6,36,9,85,136,0,04,021,001405,04021001405,0.1558,0.3045,0.2435,Pinal
Census Tract 14.06; Pinal County; Arizona,5334,53831,29.9,1726,720,1006,3201,361,62,0,18,5334,26,102,112,134,373,107,38,41,52,128,169,71,04,021,001406,04021001406,0.2537,0.5829,0.1378,Pinal
Census Tract 14.07; Pinal County; Arizona,1875,52465,42.9,703,548,155,1321,154,34,0,0,1875,14,38,0,0,38,74,0,0,0,6,30,66,04,021,001407,04021001407,0.1419,0.2205,0.1423,Pinal
Census Tract 14.08; Pinal County; Arizona,2830,88816,67.0,1268,1185,83,2549,566,362,47,0,2830,9,0,0,0,90,79,0,0,0,16,31,68,04,021,001408,04021001408,0.1035,0.0655,0.3825,Pinal
Census Tract 15; Pinal County; Arizona,3409,44706,32.1,1120,817,303,2193,48,19,0,0,3409,113,0,0,92,206,162,29,14,0,88,200,124,04,021,001500,04021001500,0.3016,0.2705,0.0306,Pinal
Census Tract 16; Pinal County; Arizona,6251,75513,40.7,2167,1604,563,4264,531,145,27,0,6251,184,109,33,241,312,159,67,39,24,66,125,183,04,021,001600,04021001600,0.2467,0.2598,0.1649,Pinal
Census Tract 17.01; Pinal County; Arizona,1174,112574,48.7,455,393,62,891,76,26,9,0,1174,4,35,0,0,56,18,15,6,0,0,4,32,04,021,001701,04021001701,0.1448,0.1363,0.1246,Pinal
Census Tract 17.04; Pinal County; Arizona,7161,96741,34.9,2301,1990,311,4573,864,211,0,21,7161,315,25,14,80,242,236,180,47,5,61,74,450,04,021,001704,04021001704,0.2414,0.1352,0.2397,Pinal
Census Tract 17.05; Pinal County; Arizona,9410,111125,34.4,2792,2269,523,5740,808,552,44,15,9410,88,0,22,122,206,272,66,22,93,198,328,294,04,021,001705,04021001705,0.1818,0.1873,0.2472,Pinal
Census Tract 17.06; Pinal County; Arizona,5244,91134,35.9,1643,1257,386,3337,684,173,11,38,5244,49,15,9,26,121,159,94,16,0,56,178,165,04,021,001706,04021001706,0.1693,0.2349,0.2715,Pinal
Census Tract 17.07; Pinal County; Arizona,6059,115761,34.2,1684,1306,378,3689,647,83,122,24,6059,4,83,0,73,121,112,60,6,28,48,117,471,04,021,001707,04021001707,0.1853,0.2245,0.2375,Pinal
Census Tract 17.09; Pinal County; Arizona,7976,94678,39.3,2596,2347,249,5455,715,579,0,17,7976,55,173,60,171,145,326,82,11,38,228,345,94,04,021,001709,04021001709,0.2166,0.0959,0.2403,Pinal
Census Tract 17.12; Pinal County; Arizona,5465,86802,35.0,1721,1320,401,3697,396,194,0,11,5465,19,37,16,39,297,168,54,3,9,115,275,219,04,021,001712,04021001712,0.2289,0.233,0.1626,Pinal
Census Tract 17.13; Pinal County; Arizona,3027,86622,37.8,1083,911,172,2061,278,46,0,25,3027,85,0,0,12,206,129,19,44,35,72,64,112,04,021,001713,04021001713,0.257,0.1588,0.1693,Pinal
Census Tract 17.14; Pinal County; Arizona,5876,86106,29.4,1623,1307,316,3413,406,161,18,0,5876,131,0,261,21,265,579,23,10,0,45,309,270,04,021,001714,04021001714,0.3257,0.1947,0.1714,Pinal
Census Tract 17.15; Pinal County; Arizona,4895,89702,36.1,1581,1322,259,3123,583,182,15,11,4895,18,94,45,130,132,139,36,32,6,12,133,148,04,021,001715,04021001715,0.189,0.1638,0.2533,Pinal
Census Tract 17.16; Pinal County; Arizona,5877,94961,38.1,1774,1442,332,4030,586,218,0,69,5877,26,85,0,87,106,237,56,41,31,37,141,226,04,021,001716,04021001716,0.1826,0.1871,0.2166,Pinal
Census Tract 17.17; Pinal County; Arizona,2005,79199,71.6,1013,979,34,1994,326,138,30,27,2005,0,11,0,0,0,0,0,0,0,0,12,0,04,021,001717,04021001717,0.0115,0.0336,0.2613,Pinal
Census Tract 19; Pinal County; Arizona,2804,45104,38.1,924,598,326,1943,118,28,0,0,2804,33,21,0,0,155,86,6,56,12,36,45,75,04,021,001900,04021001900,0.1872,0.3528,0.0751,Pinal
Census Tract 20.01; Pinal County; Arizona,5589,68965,56.5,2299,1918,381,4656,1031,250,81,7,5589,30,12,50,46,220,310,54,10,14,33,143,135,04,021,002001,04021002001,0.1891,0.1657,0.294,Pinal
Census Tract 20.04; Pinal County; Arizona,4183,44095,35.7,1473,759,714,2660,117,80,0,0,4183,212,54,63,105,129,170,40,3,25,22,102,105,04,021,002004,04021002004,0.2462,0.4847,0.0741,Pinal
Census Tract 20.05; Pinal County; Arizona,5916,69464,38.9,129,102,27,5284,195,18,4,0,5916,27,70,48,325,757,828,0,7,35,29,46,40,04,021,002005,04021002005,0.3739,0.2093,0.0411,Pinal
Census Tract 21.04; Pinal County; Arizona,3511,54013,54.5,1610,1293,317,2863,126,162,0,22,3511,51,60,0,0,104,90,0,0,13,29,40,68,04,021,002104,04021002104,0.1296,0.1969,0.1083,Pinal
Census Tract 21.05; Pinal County; Arizona,4644,60497,47.7,1873,1432,441,3595,373,95,0,0,4644,85,0,0,0,271,157,0,0,0,0,301,60,04,021,002105,04021002105,0.1882,0.2355,0.1302,Pinal
Census Tract 21.06; Pinal County; Arizona,1646,,35.4,491,434,57,1012,86,3,0,0,1646,7,11,0,82,64,4,10,11,10,42,16,90,04,021,002106,04021002106,0.2108,0.1161,0.0879,Pinal
Census Tract 21.07; Pinal County; Arizona,3837,79254,40.1,1316,1227,89,2665,603,95,0,4,3837,122,0,0,32,110,15,47,3,18,73,79,83,04,021,002107,04021002107,0.1517,0.0676,0.2634,Pinal
Census Tract 22; Pinal County; Arizona,4173,66060,62.1,2139,1905,234,3435,334,501,69,100,4173,0,0,0,43,0,63,0,0,43,41,109,63,04,021,002200,04021002200,0.0867,0.1094,0.2923,Pinal
Census Tract 23; Pinal County; Arizona,2598,58938,49.3,1009,824,185,1917,93,55,0,0,2598,27,0,45,28,56,87,8,0,11,0,102,134,04,021,002300,04021002300,0.1917,0.1833,0.0772,Pinal
Census Tract 24; Pinal County; Arizona,1669,47056,57.0,665,529,136,1267,34,29,21,0,1669,0,0,17,75,34,6,19,4,0,0,16,28,04,021,002400,04021002400,0.1192,0.2045,0.0663,Pinal
Census Tract 9412; Pinal County; Arizona,7106,50679,28.8,1905,1361,544,4318,183,35,0,0,7106,76,7,41,353,386,333,133,0,32,167,421,248,04,021,941200,04021941200,0.3092,0.2856,0.0505,Pinal
Census Tract 9413; Pinal County; Arizona,3108,37125,28.7,804,398,406,1749,164,17,0,0,3108,28,168,42,161,201,72,24,45,84,158,112,149,04,021,941300,04021941300,0.4003,0.505,0.1035,Pinal
Census Tract 9414.01; Pinal County; Arizona,6070,64506,42.3,1887,1318,569,4149,410,123,2,0,6070,98,23,47,168,145,127,260,64,23,107,100,141,04,021,941401,04021941401,0.2147,0.3015,0.1289,Pinal
Census Tract 9414.02; Pinal County; Arizona,2421,68125,40.8,686,481,205,1592,72,35,0,13,2421,8,46,0,5,132,23,128,0,54,59,19,39,04,021,941402,04021941402,0.2119,0.2988,0.0754,Pinal
