latitude,longitude,total_population,population_density,median_hh_income,median_age,pct_age_20_45,pct_bachelors_plus,reachable_pop_10min,reachable_pop_15min,reachable_pop_25min,competitor_count_3mi,nearest_competitor_dist_mi,eos_count_5mi,nearest_eos_dist_mi,years_open
33.15,-112.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7133.0,0.0,11.38529736532199,0.0,21.859236361380443,3.0
33.15,-112.435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7133.0,0.0,11.373091066624088,0.0,21.280316408235368,3.0
33.15,-112.42,7133.0,24.729751281037867,86347.0,47.4,0.27169493901584185,0.311,0.0,7133.0,7133.0,0.0,11.426651138191506,0.0,20.710427206470616,3.0
33.15,-112.405,7133.0,24.729751281037867,86347.0,47.4,0.27169493901584185,0.311,0.0,7133.0,7133.0,0.0,11.54506230253575,0.0,20.161613904292036,3.0
33.15,-112.39,7133.0,24.729751281037867,86347.0,47.4,0.27169493901584185,0.311,0.0,7133.0,7133.0,0.0,11.726360152077104,0.0,19.635643785938278,3.0
33.15,-112.375,7133.0,24.729751281037867,86347.0,47.4,0.27169493901584185,0.311,0.0,7133.0,7133.0,0.0,11.967687026919991,0.0,19.134400697749644,3.0
33.15,-112.36,7133.0,24.729751281037867,86347.0,47.4,0.27169493901584185,0.311,0.0,7133.0,7133.0,0.0,12.265500179107327,0.0,18.659877404397374,3.0
33.15,-112.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7133.0,0.0,12.615799935967022,0.0,18.21416237282209,3.0
33.15,-112.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7133.0,0.0,13.014348731930902,0.0,17.79941989647956,3.0
33.15,-112.315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7133.0,0.0,13.456860306904623,0.0,17.417862609119908,3.0
33.15,-112.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7133.0,0.0,13.939148368321547,0.0,17.071715748583625,3.0
33.15,-112.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7133.0,0.0,14.457232676412325,0.0,16.76317305410821,3.0
33.15,-112.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8307.0,0.0,13.97718244011477,0.0,16.4943449277267,3.0
33.15,-112.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8307.0,0.0,13.183399391286063,0.0,16.26720043089647,3.0
33.15,-112.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11694.0,0.0,12.399248427519359,0.0,16.08350573209642,3.0
33.15,-112.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4561.0,0.0,11.62667859432923,0.0,15.944762617270174,3.0
33.15,-112.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9456.0,0.0,10.868159927771423,0.0,15.852151422412831,3.0
33.15,-112.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16617.0,0.0,10.126850290524215,0.0,15.806483037931134,3.0
33.15,-112.17999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34379.0,0.0,9.406819064330673,0.0,15.808164309906289,3.0
33.15,-112.16499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42443.0,0.0,8.71334290170529,0.0,15.857180177474133,3.0
33.15,-112.14999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56296.0,0.0,8.053284773783043,0.0,15.953094340097536,3.0
33.15,-112.13499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64647.0,0.0,7.435549628903324,0.0,15.829772773219988,3.0
33.15,-112.11999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70112.0,0.0,6.871561134953691,0.0,15.320599873186,3.0
33.15,-112.10499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73945.0,0.0,6.375598645635389,0.0,14.844487408060449,3.0
33.15,-112.08999999999999,8003.0,625.4553708634367,69283.49244033489,33.22617768336874,0.42009246532550293,0.19512451580657256,0.0,8003.0,73730.0,0.0,5.964655502235221,0.0,14.40471394555154,3.0
33.15,-112.07499999999999,8003.0,625.4553708634367,69283.49244033489,33.22617768336874,0.42009246532550293,0.19512451580657256,0.0,8003.0,79606.0,0.0,5.657289451826175,0.0,14.004703238895646,3.0
33.15,-112.05999999999999,17413.0,3574.5770489843135,91894.6786883363,33.86051226095446,0.36059266065583184,0.22326615172572215,3108.0,17413.0,83186.0,0.0,5.4709856638852425,0.0,13.6479519810558,3.0
